body,title,url
"Desde  esta semana una nueva directriz  por parte  del Ministerio de Educación  da más claridad  frente al   retorno a los colegios, con clases de alternancia,  a partir del 1 de agosto.  Según María Victoria Angulo, ministra  de la cartera, “el regreso a clases presenciales solo aplicará para los estudiantes de grados 10 y 11, en lugares donde se evidencie que existen las condiciones óptimas para llevar a cabo este ejercicio”. Hoy, a  casi un mes de la  reactivación de las clases presenciales  aún se  debate sobre qué tan factible y seguro es volver a las aulas. Docentes y padres afirman que se deben analizar varios factores como: ¿De dónde saldrán los recursos para la compra de elementos de bioseguridad?  ¿Cuáles son los protocolos a aplicar? Y lo que más preocupa a la población de maestros mayores de 60 años es la vulnerabilidad que tienen frente al virus. “¿Estaremos seguros?”, se preguntan.",Alternancia académica: continúa el debate por regreso a clases presenciales el 1 de agosto,http://www.elpais.com.co/educacion/alternancia-academica-continua-el-debate-por-regreso-a-clases-presenciales-el-1-de-agosto.html
"Como José Luis Sarria Rivera, de 26 años, fue identificado el hombre que fue asesinado de varios disparos por desconocidos en Andalucía.Según el boletín de la Policía Valle, el homicidio se perpetró el pasado viernes hacia las 2:00 p.m. en la Carrera 5 con Calle 18 del barrio Ricaurte de esa localidad.Según el comandante del Segundo Distrito de Policía, teniente coronel Amaury Aguilera, la víctima, conocida con el alias de 'Botija', registraba antecedentes judiciales por el delito de tráfico de estupefacientes.Entre tanto, funcionarios de la Sijín de la policía se trasladaron hasta el lugar de los hechos para proceder con las diligencias de reconocimiento del cadáver e iniciar la investigación del hecho.","Investigan homicidio de un hombre de 26 años en Andalucía, Valle",http://www.elpais.com.co/judicial/investigan-homicidio-de-un-hombre-de-26-anos-en-andalucia-valle.html
"El coronavirus ha cambiado la forma de vida de todas las personas y con el confinamiento todo migró de lo presencial a lo virtual. Es aquí donde la tecnología toma cada vez más fuerza, convirtiéndose en una herramienta esencial para combatir este enemigo invisible que tiene paralizado el mundo. Drones para la vigilancia y el cumplimiento de la cuarentena, aplicaciones móviles y páginas web para atención al usuario son algunos de los mecanismos que se están utilizando para mitigar los efectos del coronavirus en el país. Además se está trabajando para implementar un software con inteligencia artificial.","Tecnología, la otra 'arma' con la que se enfrenta al coronavirus en Colombia",http://www.elpais.com.co/tecnologia/la-otra-arma-con-la-que-se-enfrenta-al-coronavirus-en-colombia.html
"Con series y películas, España llegó al nuevo continente para ganarse al público latinoamericano, y especialmente a los colombianos que a través de las plataformas streaming de televisión como Netflix y Amazon Prime, mantienen en el top de las más vistas a las producciones ibéricas.Series españolas como La Casa de Papel se han convertido en un fenómeno mundial, llegando a ser más queridas afuera que en su país de origen. Otros títulos españoles que han cautivado al público mundial son Élite o Las Chicas del Cable, que han causado mucho impacto al recrear historias cotidianas. Comedias como ‘Te quiero, idiota’ reflejan frescura en sus temas y abordaje visual.",¿Cuál es el secreto detrás del éxito de las series españolas?,http://www.elpais.com.co/entretenimiento/cual-es-el-secreto-detras-del-exito-de-las-series-espanolas.html
"Esta semana se completan seis meses desde que el alcalde Jorge Iván Ospina y su gabinete tomaron las riendas de Cali. Durante este tiempo han tenido que enfrentarse a una crisis sin precedentes provocada por una pandemia, modificar sus planes y reinventarse en…","Primer semestre de Jorge Iván Ospina, ¿cómo va su gestión en plena pandemia?",http://www.elpais.com.co/contenido-premium/primer-semestre-de-jorge-ivan-ospina-como-va-su-gestion-en-plena-pandemia.html
"El Ministerio de Salud reportó este domingo que en el Valle del Cauca ocho ciudadanos más murieron a causa del covid-19 y que otras 190 personas resultaron contagiadas con la enfermedad.De esta manera, el Valle del Cauca, tercer departamento de Colombia con mayor tasa de contagio, alcanzó los 9468 pacientes con coronavirus.Los decesos tuvieron lugar en Cali (5), Buenaventura (1), Tuluá (1) y Yumbo(1).A nivel nacional los contagios registrados desde el inicio de la pandemia ascendieron a 91.769, indicó la entidad, luego de confirmar 3178 pacientes nuevos.",Colombia sobrepasó los 90 mil casos y las 3 mil muertes por covid-19 este domingo,http://www.elpais.com.co/colombia/sobrepaso-los-90-mil-casos-y-las-3-mil-muertes-por-covid-19-este-domingo.html
"Un respiro tienen  los mayores de 70 años  en este tiempo de confinamiento por la posibilidad de salir   de sus residencias y  hacer actividad física al aire libre tres veces a la semana por espacio de 30 minutos al día, como lo dispuso el Gobierno Nacional.Este es un nuevo aire para los adultos mayores, una de las poblaciones más vulnerables al covid-19,  que, de acuerdo con las autoridades sanitarias, tienen que permanecer encerrados la mayor parte del tiempo por su propia protección contra la pandemia del coronavirus. Sin embargo, ese aislamiento social a muchos los ha deprimido o los ha vuelto ansiosos o irritables. Además de seres sedentarios, lo que puede complicar  sus patologías y su salud mental. Es por eso que los especialistas los exhortan a aprovechar ese espacio para salir de la rutina, del aburrimiento y dedicarse  a hacer actividad física. Pero no de cualquier manera o a cualquier costo.Hacer ejercicio, advierten profesionales consultados por El País (ver recuadro de fuentes), trae múltiples beneficios para la salud física y mental: ayuda a una mejor la oxigenación, a fortalecer los músculos y a desinflamarlos; a fortalecer además los huesos,   todo el sistema inmunológico, a favorecer  el metabolismo de las grasas,  la glucosa; a reducir el estrés,  en fin, mejora la calidad de vida. Y si es al aire libre produce mucho más sensación de bienestar y placer.¿Cómo prepararse para hacer actividad física? ¿Qué tipos de ejercicios hacer a esta edad? ¿Qué horas son las más apropiadas para ejercitarse? ¿Qué precauciones tomar? ",Recomendaciones para que adultos mayores hagan ejercicio durante cuarentena ,http://www.elpais.com.co/salud/recomendaciones-para-que-adultos-mayores-hagan-ejercicio-durante-cuarentena.html
"La Policía Metropolitana de Cali entregó el balance de las fiestas que se han intervenido entre la noche del viernes y la madrugada de este lunes festivo.Según se indicó, los uniformados desactivaron 145 reuniones, 95 menos que el fin de semana pasado cuando se registraron 240, y atendieron 1875 llamados relacionados con motivos asociados a alto volumen y escándalos.En cuanto a las riñas, la Policía registró 732 casos, de los cuales 215 están relacionados con violencia intrafamiliar.""El balance durante este fin de semana en la ciudad de Cali resulta muy positivo, teniendo en cuenta que logramos un decremento del 40 % en las rumbas que comúnmente se celebran en la vía pública. Esto se logra gracias a esa construcción de conciencia ciudadana, al igual que a los puestos de control y dispositivos como las Caravanas por la Vida"", manifestó el comandante de la Policía, general Manuel Vásquez.",Autoridades han desactivado 145 fiestas en Cali durante el puente festivo,http://www.elpais.com.co/cali/autoridades-han-desactivado-145-fiestas-en-cali-durante-el-puente-festivo.html
"En épocas difíciles, la gente recurre al crédito. Así de simple es la explicación por la cual este primer semestre Bancoldex llegó a una cifra récord de recursos desembolsados, que, al 30 de junio, habrá llegado ya a $4,5 billones.Según explica…",“Crece respaldo a empresas con enfoque regional”: Bancoldex,http://www.elpais.com.co/contenido-premium/crece-respaldo-a-empresas-con-enfoque-regional-bancoldex.html
"Hoy  hace trece años que Laura Charry se enteró de que nunca más volvería a ver su padre,  Carlos Alberto Charry, porque la guerrilla de las Farc había acabado con su vida, así como lo hizo con la de otros diez diputados del Valle del Cauca, quienes llevaban…","Trece años del crimen de diputados del Valle: esto confiesa Laura Charry, hija de uno de ellos",http://www.elpais.com.co/contenido-premium/trece-anos-del-crimen-de-diputados-del-valle-esto-confiesa-laura-charry-hija-de-uno-de-ellos.html
"La apneísta colombiana Sofía Gómez compartió con El País sus reflexiones sobre las redes sociales tras la polémica en la que estuvo inmersa por sus antiguos tuits.  También, se refirió a la participación de los deportistas en polémicas políticas y sociales, mientras permanece en cuarentena, a la espera de retomar sus entrenamientos bajo el agua.","Sofía Gómez reflexiona en cuarentena: nuevos hobbies, deporte y redes sociales",http://www.elpais.com.co/multimedia/videos/sofia-gomez-reflexiona-en-cuarentena-nuevos-hobbies-deporte-y-redes-sociales.html
"La seccional de Tránsito y Transporte de la Policía Valle entregó el balance de movilidad en las carreteras del departamento durante el puente festivo. De acuerdo con el coronel Hernán Carvajal, jefe de la institución, se impusieron 320 comparendos y se registraron cuatro siniestros viales.""Resaltamos el balance durante este fin de semana, con más de 92.000 vehículos movilizados, 320 órdenes de comparendo impuestas, donde se nos presentaron cuatro siniestros viales, lo que implica una reducción de más del 80 % de la siniestralidad con respecto al año anterior, y asimismo la realización de 159 pruebas de embriaguez, donde dos de ellas nos arrojaron un resultado positivo"", afirmó el coronel Carvajal.",Imponen más de 300 comparendos en las vías del Valle durante el puente festivo,http://www.elpais.com.co/valle/imponen-mas-de-300-comparendos-en-las-vias-del-durante-el-puente-festivo.html
"Jorge Iván Ospina, alcalde de Cali, indicó que se ha incrementado la ocupación de camas en Unidades de Cuidados Intensivos, UCI, en los últimos días, donde cerca de la mitad de los pacientes ingresados han sido diagnosticados con covid-19.""Estamos incrementando la ocupación de UCI. Llegamos a un 82 % para todas las causas en la ciudad de Cali. Debo señalar que por la causa covid estamos en el 48 %"" manifestó el Mandatario, quien subrayó que la ciudad nunca ha estado con las UCI completamente libres.Ospina duda de que se logre contar con las suficientes camas en UCI cuando llegue el pico de la pandemia a la ciudad y afirma que ""ningún país del mundo ha podido tener las camas suficientes para el pico de la epidemia, lo que tiene que tratar de reducirse es el pico de la epidemia con compromisos como los que han asumido los habitantes de la Colonia Nariñense; un compromiso de usar siempre el tapabocas, lavarse constantemente las manos, no volver a adelantar una actividad del orden lúdico cultural con irresponsabilidad, porque pondrán en peligro a todos los vecinos"".",Ocupación de UCI en Cali es del 82 % y casi la mitad son pacientes con covid: Ospina,http://www.elpais.com.co/cali/ocupacion-de-uci-en-es-del-82-y-casi-la-mitad-son-pacientes-con-covid-ospina.html
"Alí Alqasimehr, fiscal de Teherán, la capital de Irán, informó este lunes que ese país emitió una orden de captura en contra del presidente de los Estados Unidos, Donald Trump, y otras 35 personas presuntamente involucradas en el asesinato del general Qasem Soleimaní.""Se ha emitido una orden de arresto y se ha requerido a la policía internacional que ponga una alerta roja"", manifestó Alqasimehr, quien señaló que se orden la captura de ""responsables político militares"" de Estados Unidos y otros países.El fiscal solo desveló la identidad de uno de los requeridos -el mandatario norteamericano-, a quienes se les acusa de asesinato y acto terrorista.",Irán emite orden de arresto contra Trump y otras 35 personas por asesinato de Soleimaní ,http://www.elpais.com.co/mundo/iran-emite-orden-de-arresto-contra-trump-y-otras-35-personas-por-asesinato-de-soleimani.html
"El presidente de Metrocali, Óscar Ortiz, indicó que el video para adultos grabado en un bus del sistema masivo MÍO será enviado a las autoridades para que identifiquen a los responsables.A través de las redes sociales, Ortiz también escribió que ""los espacios públicos merecen respeto. Son decisiones propias e individuales, las cuales reprochamos y no pueden ser atribuidas a nuestro sistema masivo"".En la noche de este domingo se conoció la denuncia de la existencia de un video, compartido en un portal de contenido para adultos, en el que una mujer toca sus partes íntimas mientras el vehículo está en movimiento.",Autoridades buscan a los responsables de video para adultos grabado en bus del MÍO,http://www.elpais.com.co/cali/autoridades-buscan-a-los-responsables-de-video-para-adultos-grabado-en-bus-del-mio.html
El delantero colombiano Luis Fernando Muriel fue el gran protagonista del fin de semana en el fútbol italiano al marcar dos golazos en el triunfo del Atalanta por 3-1 sobre el Udinese. ,¡Conmovedor! Así festejaron las hijas de Muriel los golazos de su papá ,http://www.elpais.com.co/deportes/futbol-internacional/conmovedor-asi-festejaron-las-hijas-de-muriel-los-golazos-de-su-papa.html
"Después de lo ocurrido en un supermercado de Cali y de la experiencia que varios caleños vivieron en el Día sin IVA, le preguntamos a los ciudadanos qué se puede ajustar para las próximas fechas similares, programadas por el Gobierno para el mes de julio. Esto dijeron.","¿Qué hacer para los próximos días sin IVA?, opinan los caleños",http://www.elpais.com.co/multimedia/videos/que-hacer-para-los-proximos-dias-sin-iva-opinan-los-calenos.html
"Los complejos deportivos, las clínicas de cirugía plástica y los servicios de transporte intermunicipal, serían los siguientes sectores de la economía que podrían abrir sus puertas en Cali a partir del próximo 1 de julio.Así lo dio a conocer Argemiro…",Tres sectores se alistan para retomar sus actividades a partir de este miércoles en Cali,http://www.elpais.com.co/contenido-premium/tres-sectores-se-alistan-para-retomar-sus-actividades-a-partir-de-este-miercoles-en-cali.html
